Mes,InfSub
2013-04,0.08003812
2013-05,0.19743145
2013-06,0.12836871
2013-07,0.03396083
2013-08,0.09036699
2013-09,0.32393064
2013-10,0.19210471
2013-11,0.13522772
2013-12,0.32774991
2014-01,0.85245299
2014-02,0.28167299
2014-03,0.21478586
2014-04,0.29102965
2014-05,0.09382462
2014-06,0.21251375
2014-07,0.18794609
2014-08,0.21231734
2014-09,0.29298573
2014-10,0.16655147
2014-11,0.16136717
2014-12,0.23213633
2015-01,-0.03296161
2015-02,0.33998746
2015-03,0.26223609
2015-04,0.15569896
2015-05,0.11577403
2015-06,0.20895328
2015-07,0.17256499
2015-08,0.20078802
2015-09,0.37087061
2015-10,0.25144073
2015-11,0.03516805
2015-12,0.30596418
2016-01,0.19297905
2016-02,0.35852041
2016-03,0.35820529
2016-04,0.22053053
2016-05,0.21374612
2016-06,0.25436471
2016-07,0.17071857
2016-08,0.18948331
2016-09,0.4762894
2016-10,0.27959638
2016-11,0.22443015
2016-12,0.44609408
2017-01,0.57885581
2017-02,0.76423063
2017-03,0.57270768
2017-04,0.44978017
2017-05,0.27523441
2017-06,0.30437216
2017-07,0.26787014
2017-08,0.25387443
2017-09,0.28222257
2017-10,0.25247248
2017-11,0.34429326
2017-12,0.41897093
2018-01,0.28375076
2018-02,0.4882078
2018-03,0.32985256
2018-04,0.14723692
2018-05,0.25695339
2018-06,0.2314693
2018-07,0.28685906
2018-08,0.24611527
2018-09,0.32371571
2018-10,0.31014342
2018-11,0.25168109
2018-12,0.46684792
2019-01,0.1991692
2019-02,0.43167253
2019-03,0.34430897
2019-04,0.45541195
2019-05,0.16397381
2019-06,0.30356281
2019-07,0.25968755
2019-08,0.20326818
2019-09,0.2979913
2019-10,0.24609522
2019-11,0.22150283
2019-12,0.41042079
2020-01,0.32623075
2020-02,0.36402876
2020-03,0.29352473
2020-04,0.3589585
2020-05,0.29859473
2020-06,0.36785754
2020-07,0.39591343
2020-08,0.31680019
2020-09,0.31560368
2020-10,0.23943494
2020-11,-0.08425834
2020-12,0.54756073
2021-01,0.35902399
